Région;Date;Taux_de_Mortalité
Occitanie;2024-12;0.0009626272779230878
Occitanie;2025-01;0.0011005247527769908
Occitanie;2025-02;0.0008859022698544743
Occitanie;2025-03;0.000869938614099907
Occitanie;2025-04;0.0008181776696835826
Occitanie;2025-05;0.0007999565272566522
Occitanie;2025-06;0.0007527105561850539
Pays de la Loire;2024-01;0.0009384277086540542
Pays de la Loire;2024-02;0.0008302163003132006
Pays de la Loire;2024-03;0.0008427218640129691
Pays de la Loire;2024-04;0.0007590111519002331
Pays de la Loire;2024-05;0.0007697302065000347
Pays de la Loire;2024-06;0.0007337448089149867
Pays de la Loire;2024-07;0.0007401251985577257
Pays de la Loire;2024-08;0.0007191975205295418
Pays de la Loire;2024-09;0.0007222601075580564
Pays de la Loire;2024-10;0.0008059708196707923
Pays de la Loire;2024-11;0.0007845327104711893
Pays de la Loire;2024-12;0.0008743685966409546
Pays de la Loire;2025-01;0.001032839783586281
Pays de la Loire;2025-02;0.0008712839295870495
Pays de la Loire;2025-03;0.0008192101087225174
Pays de la Loire;2025-04;0.0007386862003612653
Pays de la Loire;2025-05;0.0007506250763643532
Pays de la Loire;2025-06;0.0006883905099652782
Provence-Alpes-Côte d'Azur;2024-01;0.001016798250631762
Provence-Alpes-Côte d'Azur;2024-02;0.0008709664623296944
Provence-Alpes-Côte d'Azur;2024-03;0.0008464375938636436
Provence-Alpes-Côte d'Azur;2024-04;0.0008000627019200163
Provence-Alpes-Côte d'Azur;2024-05;0.000779749732721568
Provence-Alpes-Côte d'Azur;2024-06;0.0007197689840506782
Provence-Alpes-Côte d'Azur;2024-07;0.0007895229537510101
Provence-Alpes-Côte d'Azur;2024-08;0.0008360894774795285
Provence-Alpes-Côte d'Azur;2024-09;0.0008117522407983687
Provence-Alpes-Côte d'Azur;2024-10;0.000875948888736861
Provence-Alpes-Côte d'Azur;2024-11;0.0008617681366549254
Provence-Alpes-Côte d'Azur;2024-12;0.000980196579717577
Provence-Alpes-Côte d'Azur;2025-01;0.0011416389730820075
Provence-Alpes-Côte d'Azur;2025-02;0.0008508873362208811
Provence-Alpes-Côte d'Azur;2025-03;0.0008589001766068177
Provence-Alpes-Côte d'Azur;2025-04;0.0008102507885493458
Provence-Alpes-Côte d'Azur;2025-05;0.000810060006635395
Provence-Alpes-Côte d'Azur;2025-06;0.0007472927569455586
